,Category,tweet,polarity,analysis
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0.021590909090909098,Positive
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,-0.6999999999999998,Negative
32,ham,K tell me anything about you.,0.0,Neutral
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0.3333333333333333,Positive
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0.2,Positive
35,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0.25,Positive
36,ham,"Oops, I'll let you know when my roommate's done",0.0,Neutral
37,ham,I see the letter B on my car,0.0,Neutral
38,ham,Anything lor... U decide...,0.0,Neutral
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0.0,Neutral
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0.65,Positive
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0.45,Positive
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0.4,Positive
43,ham,WHO ARE YOU SEEING?,0.0,Neutral
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,1.0,Positive
45,ham,No calls..messages..missed calls,0.0,Neutral
46,ham,Didn't you get hep b immunisation in nigeria.,0.0,Neutral
47,ham,"Fair enough, anything going on?",0.35,Positive
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0.0,Neutral
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,-0.196875,Negative
50,ham,What you thinked about me. First time you saw me in class.,0.25,Positive
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",-0.054166666666666655,Negative
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0.1,Positive
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0.1875,Positive
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0.06818181818181818,Positive
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0.0,Neutral
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",0.5357142857142857,Positive
57,ham,"Sorry, I'll call later in meeting.",-0.25,Negative
58,ham,Tell where you reached,0.0,Neutral
59,ham,Yes..gauti and sehwag out of odi series.,0.0,Neutral
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0.0,Neutral
61,ham,Ha ha ha good joke. Girls are situation seekers.,0.7,Positive
62,ham,Its a part of checking IQ,0.0,Neutral
63,ham,"Sorry my roommates took forever, it ok if I come by now?",0.0,Neutral
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0.275,Positive
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",0.16666666666666666,Positive
66,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0.25,Positive
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0.3,Positive
68,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0.17045454545454544,Positive
69,ham,I plane to give on this month end.,0.0,Neutral
70,ham,Wah lucky man... Then can save money... Hee...,0.3333333333333333,Positive
71,ham,Finished class where are you.,0.0,Neutral
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0.0,Neutral
73,ham,K..k:)where are you?how did you performed?,0.0,Neutral
74,ham,U can call me now...,0.0,Neutral
75,ham,I am waiting machan. Call me once you free.,0.4,Positive
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0.35,Positive
77,ham,I like you peoples very much:) but am very shy pa.,0.03666666666666666,Positive
78,ham,Does not operate after  &lt;#&gt;  or what,0.0,Neutral
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0.1,Positive
80,ham,"Sorry, I'll call later",-0.25,Negative
81,ham,K. Did you call me just now ah?,0.0,Neutral
82,ham,Ok i am on the way to home hi hi,0.5,Positive
83,ham,You will be in the place of that man,0.0,Neutral
84,ham,Yup next stop.,0.0,Neutral
85,ham,"I call you later, don't have network. If urgnt, sms me.",0.0,Neutral
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0.3,Positive
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0.0,Neutral
88,ham,I'm really not up to it still tonight babe,-0.1,Negative
89,ham,"Ela kano.,il download, come wen ur free..",0.4,Positive
90,ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0.0,Neutral
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,-0.18,Negative
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0.24479166666666666,Positive
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,0.0,Neutral
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0.0,Neutral
95,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0.2,Positive
96,ham,Watching telugu movie..wat abt u?,0.0,Neutral
97,ham,i see. When we finish we have loads of loans to pay,0.0,Neutral
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0.625,Positive
99,ham,I see a cup of coffee animation,0.0,Neutral
100,ham,Please don't text me anymore. I have nothing else to say.,0.0,Neutral
101,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0.2333333333333333,Positive
102,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0.0,Neutral
103,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.0,Neutral
104,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0.04821428571428569,Positive
105,ham,Umma my life and vava umma love you lot dear,0.5,Positive
106,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0.3,Positive
107,ham,"Aight, I'll hit you up when I get some cash",0.0,Neutral
108,ham,How would my ip address test that considering my computer isn't a minecraft server,0.0,Neutral
109,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0.3,Positive
110,ham,Dont worry. I guess he's busy.,0.1,Positive
111,ham,What is the plural of the noun research?,0.0,Neutral
112,ham,Going for dinner.msg you after.,0.0,Neutral
113,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0.24545454545454545,Positive
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0.0,Neutral
115,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0.29345238095238096,Positive
116,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0.6785714285714286,Positive
117,spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),0.24675324675324675,Positive
118,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,0.0,Neutral
119,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0.1,Positive
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0.0,Neutral
121,spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0.0,Neutral
122,ham,here is my new address -apples&pairs&all that malarky,0.13636363636363635,Positive
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0.0,Neutral
124,ham,I am going to sao mu today. Will be done only at 12,0.0,Neutral
125,ham,Ü predict wat time ü'll finish buying?,0.0,Neutral
126,ham,"Good stuff, will do.",0.7,Positive
127,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0.25,Positive
128,ham,Are you there in room.,0.0,Neutral
129,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,-0.0625,Negative
130,ham,K..k:)how much does it cost?,0.2,Positive
131,ham,I'm home.,0.0,Neutral
132,ham,"Dear, will call Tmorrow.pls accomodate.",0.0,Neutral
133,ham,First answer my question.,0.25,Positive
134,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,0.65,Positive
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0.1625,Positive
136,ham,I only haf msn. It's yijue@hotmail.com,0.0,Neutral
137,ham,He is there. You call and meet him,0.0,Neutral
138,ham,No no. I will check all rooms befor activities,0.0,Neutral
139,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0.45,Positive
140,ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,-0.275,Negative
141,ham,"K, text me when you're on the way",0.0,Neutral
142,ham,"Sir, Waiting for your mail.",0.0,Neutral
143,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",-0.06875,Negative
144,ham,I know you are. Can you pls open the back?,0.0,Neutral
145,ham,Yes see ya not on the dot,0.0,Neutral
146,ham,Whats the staff name who is taking class for us?,0.0,Neutral
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0.1590909090909091,Positive
148,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,-0.3791666666666667,Negative
149,ham,K..i deleted my contact that why?,0.0,Neutral
150,ham,Sindu got job in birla soft ..,0.1,Positive
151,ham,The wine is flowing and i'm i have nevering..,0.0,Neutral
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0.17222222222222222,Positive
153,ham,Ok... Ur typical reply...,0.16666666666666669,Positive
154,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.0,Neutral
155,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0.21111111111111114,Positive
156,ham,Aaooooright are you at work?,0.0,Neutral
157,ham,I'm leaving my house now...,0.0,Neutral
158,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0.45,Positive
159,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0.13636363636363635,Positive
160,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0.24675324675324675,Positive
161,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0.35,Positive
162,ham,New car and house for my parents.:)i have only new job in hand:),0.19318181818181818,Positive
163,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0.5583333333333333,Positive
164,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0.0,Neutral
165,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0.0,Neutral
166,ham,I place all ur points on e cultures module already.,0.0,Neutral
167,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,0.0,Neutral
168,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0.85,Positive
169,ham,Great escape. I fancy the bridge but needs her lager. See you tomo,0.8,Positive
170,ham,Yes :)it completely in out of form:)clark also utter waste.,0.09999999999999999,Positive
171,ham,"Sir, I need AXIS BANK account no and bank address.",0.0,Neutral
172,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0.45,Positive
173,ham,What time you coming down later?,-0.07777777777777779,Negative
174,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",-0.43333333333333335,Negative
175,ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0.0,Neutral
176,ham,Let me know when you've got the money so carlos can make the call,0.0,Neutral
177,ham,U still going to the mall?,0.0,Neutral
178,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0.22500000000000003,Positive
179,ham,Text her. If she doesnt reply let me know so i can have her log in,0.0,Neutral
180,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0.45,Positive
181,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0.0,Neutral
182,ham,Lol no. U can trust me.,0.8,Positive
183,ham,ok. I am a gentleman and will treat you with dignity and respect.,0.5,Positive
184,ham,"He will, you guys close?",0.0,Neutral
185,ham,Going on nothing great.bye,0.0,Neutral
186,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0.09375,Positive
187,ham,"Haha awesome, be there in a minute",0.6,Positive
188,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,0.0,Neutral
189,ham,Have you got Xmas radio times. If not i will get it now,0.0,Neutral
190,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0.125,Positive
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0.1875,Positive
192,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0.26458333333333334,Positive
193,ham,Hi :)finally i completed the course:),0.3333333333333333,Positive
194,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0.5,Positive
195,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0.13636363636363635,Positive
196,ham,Gud mrng dear hav a nice day,0.6,Positive
197,ham,Did u got that persons story,0.0,Neutral
198,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,-0.2,Negative
199,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,-0.16666666666666666,Negative
200,ham,"Found it, ENC  &lt;#&gt; , where you at?",0.0,Neutral
201,ham,I sent you  &lt;#&gt;  bucks,0.0,Neutral
202,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0.5,Positive
203,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0.75,Positive
204,ham,Goodmorning sleeping ga.,0.0,Neutral
205,ham,U call me alter at 11 ok.,0.5,Positive
206,ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0.0,Neutral
207,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0.6785714285714286,Positive
208,ham,"Aight yo, dats straight dogg",0.2,Positive
209,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0.0,Neutral
210,ham,Both :) i shoot big loads so get ready!,0.25,Positive
211,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0.65,Positive
212,ham,Home so we can always chat,0.0,Neutral
213,ham,K:)k:)good:)study well.,0.0,Neutral
214,ham,Yup... How ü noe leh...,0.0,Neutral
215,ham,Sounds great! Are you home now?,1.0,Positive
216,ham,Finally the match heading towards draw as your prediction.,0.0,Neutral
217,ham,Tired. I haven't slept well the past few nights.,-0.2833333333333334,Negative
218,ham,Easy ah?sen got selected means its good..,0.5666666666666667,Positive
219,ham,I have to take exam with march 3,0.0,Neutral
220,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0.15,Positive
221,ham,Ok no prob. Take ur time.,0.5,Positive
222,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0.05416666666666667,Positive
223,ham,"Sorry, I'll call later",-0.25,Negative
224,ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0.19999999999999998,Positive
225,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",0.08522727272727272,Positive
226,ham,Would really appreciate if you call me. Just need someone to talk to.,0.2,Positive
227,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0.4,Positive
228,ham,Hey company elama po mudyadhu.,0.0,Neutral
229,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0.5166666666666667,Positive
230,ham,Dear good morning now only i am up,0.35,Positive
231,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,0.13317460317460317,Positive
232,ham,Dear we are going to our rubber place,0.0,Neutral
233,ham,"Sorry battery died, yeah I'm here",-0.5,Negative
234,ham,Yes:)here tv is always available in work place..,0.4,Positive
235,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,0.5,Positive
236,ham,I have printed it oh. So  &lt;#&gt;  come upstairs,0.0,Neutral
237,ham,Or ill be a little closer like at the bus stop on the same street,-0.22916666666666666,Negative
238,ham,Where are you?when wil you reach here?,0.0,Neutral
239,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0.020454545454545447,Positive
240,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,-0.4,Negative
241,ham,Tomarrow final hearing on my laptop case so i cant.,0.0,Neutral
242,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0.0,Neutral
243,ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",0.5,Positive
244,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0.2,Positive
245,ham,U don't remember that old commercial?,0.05,Positive
246,ham,Too late. I said i have the website. I didn't i have or dont have the slippers,-0.3,Negative
247,ham,I asked you to call him now ok,0.5,Positive
248,ham,Kallis wont bat in 2nd innings.,0.0,Neutral
249,ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,0.39999999999999997,Positive
250,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,0.4,Positive
251,ham,Ranjith cal drpd Deeraj and deepak 5min hold,0.0,Neutral
252,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0.04629629629629631,Positive
253,ham,What you doing?how are you?,0.0,Neutral
254,ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",-0.125,Negative
255,ham,"I'm back, lemme know when you're ready",0.1,Positive
256,ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,0.0,Neutral
257,ham,Mmm so yummy babe ... Nice jolt to the suzy,0.6,Positive
258,ham,Where are you lover ? I need you ...,0.0,Neutral
259,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,0.0,Neutral
260,ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?,0.0,Neutral
261,ham,Yup,0.0,Neutral
262,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0.6,Positive
263,ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,0.0,Neutral
264,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,0.15,Positive
265,ham,Why you Dint come with us.,0.0,Neutral
266,ham,Same. Wana plan a trip sometme then,0.0,Neutral
267,ham,"Not sure yet, still trying to get a hold of him",-0.25,Negative
268,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,0.625,Positive
269,ham,The evo. I just had to download flash. Jealous?,0.0,Neutral
270,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,0.5125,Positive
271,ham,"Come to mu, we're sorting out our narcotics situation",0.0,Neutral
272,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0.16428571428571428,Positive
273,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,0.44970238095238096,Positive
274,ham,"Usf I guess, might as well take 1 car",0.0,Neutral
275,ham,No objection. My bf not coming.,0.0,Neutral
276,ham,Thanx...,0.0,Neutral
277,ham,Tell rob to mack his gf in the theater,0.0,Neutral
278,ham,"Awesome, I'll see you in a bit",1.0,Positive
279,ham,Just sent it. So what type of food do you like?,0.0,Neutral
280,ham,All done? All handed in? Celebrations in full swing yet?,0.35,Positive
281,ham,You got called a tool?,0.0,Neutral
282,ham,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",0.35714285714285715,Positive
283,ham,Ok. I asked for money how far,0.1,Positive
284,ham,Okie...,0.0,Neutral
285,ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",-0.13518518518518519,Negative
286,ham,"K, I might come by tonight then if my class lets out early",0.1,Positive
287,ham,Ok..,0.0,Neutral
